trat	alt	raiz	mpas	msr
NC	4.5	13.6	7.5	1.5
NC	5	9.7	9.9	0.7
NC	5.4	20.2	9.2	0.4
NC	5	8.7	8.7	1.8
NC	5	10	7	1.8
NC	4.5	10.3	7.2	1.2
NC	5.1	17.3	6.7	1.7
NC	4.8	10.3	8.4	0.6
NC	5.5	10	8.1	1
NC	5.4	18.1	9.6	1.6
NC	4.2	17.2	8.2	0.8
NC	5.3	17.5	3.9	2.6
NC	5.3	9.8	6.2	2.2
NC	5.5	9.5	4.6	0.9
NC	5.3	8	5.5	1.8
NC	4.5	7.5	7.5	0.8
NC	4	14.4	4	0.9
NC	4.8	14.2	5.1	1.5
NC	4.5	8.5	6.2	2.2
NC	5	10.4	9.4	3.7
NC	4	10.5	10.5	1.9
NC	5.1	8.2	5.4	1.3
NC	4.5	14.5	7.1	1.2
NC	5.5	9.6	6.2	1.3
NC	4	18.5	7.1	1.6
NC	4.5	10.5	6.9	2.5
NC	5.8	10.4	8.8	1.8
NC	4.5	16.8	7	1.6
NC	3.8	10.1	6.9	2
NC	3.9	9.2	8.5	1.3
NC	4.8	13.7	6.5	1.2
NC	5	16.5	6.8	0.9
NC	5.1	10.5	6.2	1.8
NC	4.6	13.6	6.3	2
NC	5.5	18.5	5.5	2
PC	4.9	6.2	8.1	0.9
PC	4	9	7.7	1
PC	5	7.6	4.2	0.7
PC	4.4	8.4	4.9	0.7
PC	4.8	5	6.9	1.2
PC	4.9	6.7	6.3	0.4
PC	4.2	5.9	7.1	0.4
PC	4.3	4.1	7.1	1
PC	4.9	9.3	2.8	1.1
PC	4.7	8	6.2	1
PC	4.8	7.4	6.2	1.4
PC	3.8	7.3	6.7	1.3
PC	4.3	5.9	8	1.3
PC	4.5	3.9	4.4	0.9
PC	4.8	3.8	5.8	0.6
PC	4.8	7.1	4.3	0.7
PC	5	7.8	6.2	0.9
PC	4.3	7.9	6.1	1.4
PC	4.5	8.2	5.4	1.5
PC	4.5	8	1.4	1
PC	4	9.3	4.6	0.6
PC	4.7	5.9	6.5	1.1
PC	4.8	7.6	7.7	1.2
PC	4.7	10	6.6	0.9
PC	5	9.8	5.3	1.7
PC	5.2	9.7	5.9	0.8
PC	5.3	9.3	6.1	1.2
PC	5.3	10.3	2.9	1.3
PC	5.5	8	5.7	0.8
PC	5	7.4	8	1.3
PC	5	8.3	2.8	1.6
PC	5.4	11.6	4	0.9
PC	5.9	6.7	7.8	0.8
PC	3.8	3.5	5.8	1.1
PC	4	4.1	5	0.7
2052	6	13.5	6.6	1.6
2052	4.2	12.5	4.8	1.8
2052	6.3	8.7	8	1.5
2052	5.2	10	7	1.9
2052	7	10	3.1	3.2
2052	4.5	9.3	4.2	1.5
2052	4.1	6.2	6.7	1.3
2052	6.1	14.5	7	1.6
2052	4.5	18	7.6	1.2
2052	4.1	6.5	3.5	1.6
2052	6.1	8	7.6	1.2
2052	4.9	11.5	6	1.4
2052	5.8	20.5	7.1	1.4
2052	6.3	11	5.6	1.2
2052	6	8	5.4	2.1
2052	5.2	6.5	7.4	1.1
2052	5.5	10	6	1.7
2052	5	11	3.2	1
2052	6	6	7.4	1.1
2052	5.5	3.1	4.3	1.8
2052	6	8.9	8.3	0.9
2052	5	11.5	9.1	0.8
2052	5.29	6.1	4.1	1.3
2052	6.5	6.5	4.1	0.7
2052	5.5	4.5	8.6	0.6
2052	4	12.5	5.5	1
2052	5.1	13.5	7.2	0.8
2052	3.5	12	5.8	0.8
2052	4.2	13	3.1	0.6
2052	6	8	4.9	1.1
2052	6	18.5	7	2.2
2052	3.5	10.17	6.6	1.9
2052	5.5	6.3	7.2	2.5
2052	6	6.3	5.3	0.7
2052	4.9	13.5	6.8	0.5
2053	6.5	20.5	6.6	1.4
2053	5	13.3	7.1	1.3
2053	5.5	15.6	8.2	2.5
2053	5	18	8.5	2
2053	5.5	20.6	7	2.5
2053	6.5	10.2	10	3.2
2053	5.5	6	7.8	2.1
2053	5.5	16.2	10.6	2.5
2053	6.1	20.5	7.14	3.1
2053	6	10.1	5.3	2.6
2053	5.2	22	8.4	3
2053	4.6	18.7	8.8	2.5
2053	4.3	10	10.6	0.8
2053	3.3	13.5	11	3
2053	4.1	10	6.3	1
2053	5	17.5	4.8	1
2053	5.5	16	5.1	0.4
2053	6.4	13.3	5	0.7
2053	5.2	15.5	4.5	1
2053	3.5	3.5	4.5	1.2
2053	4.2	13	4.7	1.3
2053	4.5	11	5.8	1.8
2053	4	17.5	8.1	3
2053	4.5	8.6	5.7	3
2053	5.2	7.6	6.7	1.8
2053	5.4	20.5	11.7	2.4
2053	5	26	6.4	2.5
2053	4.9	11	5.9	1.6
2053	6	13.5	5.7	1.7
2053	5.3	19.5	8.8	2.4
2053	5.1	13.5	6.8	2
2053	4.9	20	6.9	1.3
2053	4.2	15	7.1	2.6
2053	5.9	14	6	1.4
2053	5	18	6.5	1.6
